*k1	k2	time	date	store
3.000000	5.000000	374.000488	2001-01-08 19:00:00 -0500	35.088898
3.000000	5.000000	375.000549	2001-01-09 19:00:00 -0500	25.353384
3.000000	5.000000	376.000610	2001-01-10 19:00:00 -0500	17.690235
3.000000	5.000000	377.000671	2001-01-11 19:00:00 -0500	11.964348
3.000000	5.000000	378.000732	2001-01-12 19:00:00 -0500	7.869645
3.000000	5.000000	379.000793	2001-01-13 19:00:00 -0500	5.049059
3.000000	5.000000	380.000854	2001-01-14 19:00:00 -0500	3.167898
3.000000	5.000000	381.000916	2001-01-15 19:00:00 -0500	1.948092
3.000000	5.000000	382.000977	2001-01-16 19:00:00 -0500	1.176446
3.000000	5.000000	383.001038	2001-01-17 19:00:00 -0500	0.698872
3.000000	5.000000	384.001099	2001-01-18 19:00:00 -0500	0.409008
3.000000	5.000000	385.001160	2001-01-19 19:00:00 -0500	0.236125
3.000000	7.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
3.000000	7.000000	367.000061	2001-01-01 19:00:00 -0500	99.723419
3.000000	7.000000	368.000122	2001-01-02 19:00:00 -0500	97.871147
3.000000	7.000000	369.000183	2001-01-03 19:00:00 -0500	93.608231
3.000000	7.000000	370.000244	2001-01-04 19:00:00 -0500	86.404938
3.000000	7.000000	371.000305	2001-01-05 19:00:00 -0500	76.161957
3.000000	7.000000	372.000366	2001-01-06 19:00:00 -0500	63.621326
3.000000	7.000000	373.000427	2001-01-07 19:00:00 -0500	50.216297
3.000000	7.000000	374.000488	2001-01-08 19:00:00 -0500	37.484726
3.000000	7.000000	375.000549	2001-01-09 19:00:00 -0500	26.547897
3.000000	7.000000	376.000610	2001-01-10 19:00:00 -0500	17.915401
3.000000	7.000000	377.000671	2001-01-11 19:00:00 -0500	11.572035
3.000000	7.000000	378.000732	2001-01-12 19:00:00 -0500	7.185794
3.000000	7.000000	379.000793	2001-01-13 19:00:00 -0500	4.306888
3.000000	7.000000	380.000854	2001-01-14 19:00:00 -0500	2.500559
3.000000	7.000000	381.000916	2001-01-15 19:00:00 -0500	1.410837
3.000000	7.000000	382.000977	2001-01-16 19:00:00 -0500	0.775706
3.000000	7.000000	383.001038	2001-01-17 19:00:00 -0500	0.416641
3.000000	7.000000	384.001099	2001-01-18 19:00:00 -0500	0.219082
3.000000	7.000000	385.001160	2001-01-19 19:00:00 -0500	0.112993
3.000000	9.000000	366.000000	2000-12-31 19:00:00 -0500	100.000000
3.000000	9.000000	367.000061	2001-01-01 19:00:00 -0500	99.723518
3.000000	9.000000	368.000122	2001-01-02 19:00:00 -0500	97.896606
3.000000	9.000000	369.000183	2001-01-03 19:00:00 -0500	93.900177
3.000000	9.000000	370.000244	2001-01-04 19:00:00 -0500	87.475555
3.000000	9.000000	371.000305	2001-01-05 19:00:00 -0500	78.282249
3.000000	9.000000	372.000366	2001-01-06 19:00:00 -0500	66.416283
3.000000	9.000000	373.000427	2001-01-07 19:00:00 -0500	52.908356
3.000000	9.000000	374.000488	2001-01-08 19:00:00 -0500	39.420956
3.000000	9.000000	375.000549	2001-01-09 19:00:00 -0500	27.495995
3.000000	9.000000	376.000610	2001-01-10 19:00:00 -0500	18.020639
3.000000	9.000000	377.000671	2001-01-11 19:00:00 -0500	11.153275
3.000000	9.000000	378.000732	2001-01-12 19:00:00 -0500	6.553530
